CHILDID,P1LEARN,P2LEARN,P4LEARN,T1LEARN,T2LEARN,T4LEARN,T5LEARN,T6LEARN,P1SRS10,P1SRS13,P1SRS15,P1SRS18,P1SRS22,P1SRS24,P2SRS10,P2SRS13,P2SRS15,P2SRS18,P2SRS22,P2SRS24,P4SRS10,P4SRS13,P4SRS15,P4SRS18,P4SRS22,P4SRS24,T1SRS11,T1SRS14,T1SRS15,T1SRS21,T1SRS23,T1SRS24,T2SRS11,T2SRS14,T2SRS15,T2SRS21,T2SRS23,T2SRS24,T4SRS11,T4SRS14,T4SRS15,T4SRS21,T4SRS23,T4SRS24,T5SRS11,T5SRS14,T5SRS15,T5SRS21,T5SRS23,T5SRS24,T5SRS26,G6SRS11,G6SRS14,G6SRS15,G6SRS21,G6SRS23,G6SRS24,G6SRS26
0317006C,3.5,3.33,,2.83,3,,,,3,4,3,3,4,4,4,4,3,2,4,3,,,,,,,2,2,3,4,3,3,3,2,4,3,3,3,,,,,,,,,,,,,,,,,,,,
0317008C,2.67,2.67,3,2.33,2.33,,1.71,2.43,3,2,3,2,4,2,3,2,3,2,2,4,3,3,2,2,4,4,2,2,2,3,2,3,2,3,3,2,2,2,,,,,,,1,2,2,1,2,1,3,2,3,2,2,2,3,3
0317009C,3,3,3.17,1.83,3,,3.57,2.43,2,4,2,4,3,3,2,4,2,3,3,4,3,4,2,3,3,4,2,2,1,2,2,2,3,3,3,3,3,3,,,,,,,2,4,4,4,4,3,4,2,3,2,3,2,2,3
0317010C,3.5,3.67,3.33,2.67,3.33,,2.86,2.14,4,4,3,2,4,4,4,4,3,3,4,4,4,4,2,2,4,4,3,3,2,3,3,2,3,4,3,3,4,3,,,,,,,2,3,3,3,3,3,3,2,2,2,2,2,2,3
0317011C,3.67,4,4,3.5,3.67,,3.71,3.29,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,3,4,4,3,4,,,,,,,3,4,4,3,4,4,4,4,3,3,3,3,3,4
0317012C,2.67,3.17,3,2,2.33,,2,1.71,3,3,2,2,3,3,3,3,3,3,4,3,3,3,3,3,3,3,2,2,2,2,2,2,3,3,2,2,2,2,,,,,,,3,2,2,2,2,1,2,1,2,2,1,1,2,3
0317013C,3.67,3,2.83,3.83,3.83,,3.14,2.57,3,4,3,4,4,4,3,3,2,3,4,3,3,3,2,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,,,,,,,3,3,3,3,3,3,4,2,3,2,2,3,3,3
0317014C,2.67,3,2.83,3.5,4,,4,3.17,2,3,3,3,3,2,3,4,3,2,3,3,3,3,3,2,3,3,4,3,3,3,4,4,4,4,4,4,4,4,,,,,,,4,4,4,4,4,4,4,4,3,3,,3,3,3
0317015C,3,2.67,2.67,3,3.33,,3.57,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,2,2,3,3,2,3,3,4,3,3,3,3,4,4,3,3,,,,,,,3,4,3,4,4,3,4,3,3,3,3,3,3,3
0317016C,3.17,3.5,3,2.83,3.5,,,,3,3,3,3,3,4,3,4,3,3,4,4,3,4,2,3,2,4,3,3,2,3,3,3,4,4,3,3,4,3,,,,,,,,,,,,,,,,,,,,
