CHILDID,P1LEARN,P2LEARN,P4LEARN,T1LEARN,T2LEARN,T4LEARN,T5LEARN,T6LEARN,P1SRS10,P1SRS13,P1SRS15,P1SRS18,P1SRS22,P1SRS24,P2SRS10,P2SRS13,P2SRS15,P2SRS18,P2SRS22,P2SRS24,P4SRS10,P4SRS13,P4SRS15,P4SRS18,P4SRS22,P4SRS24,T1SRS11,T1SRS14,T1SRS15,T1SRS21,T1SRS23,T1SRS24,T2SRS11,T2SRS14,T2SRS15,T2SRS21,T2SRS23,T2SRS24,T4SRS11,T4SRS14,T4SRS15,T4SRS21,T4SRS23,T4SRS24,T5SRS11,T5SRS14,T5SRS15,T5SRS21,T5SRS23,T5SRS24,T5SRS26,G6SRS11,G6SRS14,G6SRS15,G6SRS21,G6SRS23,G6SRS24,G6SRS26
0316016C,,2,,,4,,2.86,2.29,,,,,,,2,2,2,2,2,2,,,,,,,,,,,,,4,4,4,4,4,4,,,,,,,3,3,3,2,3,3,3,2,2,2,3,3,2,2
0316017C,,2.83,3.17,,4,,2.71,2.29,,,,,,,3,3,2,3,3,3,4,3,3,3,3,3,,,,,,,4,4,4,4,4,4,,,,,,,4,2,2,2,2,3,4,3,2,2,2,3,2,2
0316018C,,3.17,,,1,,1.86,,,,,,,,3,3,3,4,3,3,,,,,,,,,,,,,1,1,1,1,1,1,,,,,,,1,2,2,2,2,2,2,,,,,,,
0316019C,,3,3,,3.17,,3.43,2,,,,,,,3,3,2,3,4,3,3,3,2,3,4,3,,,,,,,4,3,4,3,4,1,,,,,,,4,3,4,3,4,3,3,2,2,2,2,2,2,2
0316020C,,,3,,3.5,,3.14,2.86,,,,,,,,,,,,,3,3,3,3,3,3,,,,,,,4,4,4,3,3,3,,,,,,,4,3,3,3,3,3,3,3,3,3,2,3,3,3
0316021C,,3.5,3.33,,1.67,,1.86,,,,,,,,4,4,4,3,3,3,4,2,4,4,4,2,,,,,,,2,2,2,1,2,1,,,,,,,3,2,2,2,1,1,2,,,,,,,
0316022C,,,3.17,,3,,3.14,2,,,,,,,,,,,,,4,4,2,2,4,3,,,,,,,2,4,4,2,3,3,,,,,,,3,3,4,3,3,3,3,2,2,2,2,2,2,2
0316023C,,,,,2.17,,2,1.86,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,2,2,2,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,1,2
0316024C,,3,,,2.83,,2.29,1.14,,,,,,,3,4,2,3,3,3,,,,,,,,,,,,,4,3,3,2,3,2,,,,,,,4,2,2,2,2,2,2,2,1,1,1,1,1,1
0317001C,3.33,3,,2.5,2.67,,,,4,4,2,4,2,4,3,3,3,3,3,3,,,,,,,2,2,3,3,2,3,3,3,3,3,2,2,,,,,,,,,,,,,,,,,,,,
0317003C,3.5,4,3.5,4,3.5,,3.86,2.71,4,4,3,3,4,3,4,4,4,4,4,4,4,4,3,2,4,4,4,4,4,4,4,4,3,4,4,4,3,3,,,,,,,4,4,4,3,4,4,4,3,2,3,2,3,3,3
0317004C,2.83,3,2.5,3.83,3.67,,,,3,3,2,2,3,4,3,4,3,2,3,3,3,3,3,1,2,3,3,4,4,4,4,4,3,4,4,4,3,4,,,,,,,,,,,,,,,,,,,,
0317005C,3,2.67,3,2.83,3.33,,4,3.29,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,4,3,2,3,3,2,3,3,3,4,3,3,3,4,3,,,,,,,4,4,4,4,4,4,4,4,3,3,3,4,3,3
